trade_id,pnl_points
1,18.5
2,-8.75
3,-5.0
4,-6.0
5,-12.5
6,-2.75
7,6.0
8,-3.75
9,-10.5
10,-1.0
11,7.75
12,-1.25
13,12.25
14,7.5
15,-4.75
16,13.5
17,20.25
18,17.75
19,8.25
20,-8.0
21,7.5
22,24.5
23,-0.75
24,-7.5
25,5.75
26,-8.5
27,-3.0
28,-10.75
29,-8.75
30,0.0
31,1.75
32,-2.75
33,6.5
34,-1.75
35,-7.0
36,1.0
37,-5.0
38,-2.75
39,-1.0
40,-5.0
41,-6.5
42,7.0
43,-14.5
44,14.5
45,1.5
46,-9.0
47,0.5
48,0.0
49,-4.75
50,2.25
51,-1.0
52,-5.25
53,-11.0
54,3.0
55,-5.5
56,-16.0
57,-0.75
58,6.25
59,-12.5
60,17.0
61,11.5
62,13.75
63,-34.25
64,-6.5
65,-8.0
66,0.25
67,0.0
68,7.25
69,-0.75
70,4.0
71,5.5
72,1.75
73,1.0
74,12.5
75,-3.25
76,-9.75
77,5.75
78,-6.75
79,-3.5
80,21.25
81,-7.5
82,7.75
83,11.25
84,5.75
85,-1.25
86,12.0
87,-1.0
88,2.0
89,3.25
90,3.5
91,-1.0
92,-2.5
93,4.75
94,-8.0
95,-3.75
96,-1.0
97,-0.5
98,7.0
99,1.5
100,1.0
101,-2.75
102,2.25
103,-4.25
104,11.5
105,5.0
106,2.75
107,9.75
108,-7.0
109,0.0
110,-3.0
111,-15.0
112,-1.75
113,2.25
114,-1.25
115,-7.5
116,2.0
117,-2.5
118,-12.0
119,0.25
120,-1.0
121,0.0
122,-2.75
123,7.5
124,-2.5
125,6.0
126,14.5
127,9.0
128,0.0
129,-8.25
130,-6.25
131,-27.0
132,5.0
133,0.25
134,10.0
135,2.0
136,2.0
137,-10.0
138,3.0
139,-0.75
140,4.5
141,-2.5
142,-1.25
143,-7.0
144,-0.5
145,6.75
146,10.0
147,-4.25
148,-22.75
149,-3.25
150,1.25
151,40.0
152,40.0
153,7.5
154,-11.25
155,8.5
156,3.5
157,-16.25
158,-0.25
159,22.0
160,-19.5
161,-11.25
162,3.5
163,10.25
164,9.25
165,-7.0
166,-0.25
167,-5.0
168,-13.0
169,-0.25
170,3.25
171,-11.0
172,5.5
173,21.25
174,0.0
175,8.0
176,20.0
177,26.5
178,5.0
179,7.0
180,5.75
181,9.25
182,12.25
183,-13.75
184,5.5
185,-0.5
186,6.75
187,-6.75
188,10.0
189,40.0
190,-18.5
191,-19.75
192,-7.0
193,15.5
194,-6.5
195,-0.25
196,2.25
197,-56.75
198,-0.5
199,-9.0
200,6.0
201,0.75
202,-2.0
203,-9.25
204,4.25
205,-22.25
206,-18.75
207,-5.25
208,-10.5
209,-3.0
210,-12.5
211,-9.75
212,-9.5
213,-3.0
214,-6.25
215,8.25
216,-2.5
217,4.5
218,-1.5
219,3.25
220,5.0
221,10.0
222,4.5
223,-5.0
224,18.25
225,-0.5
226,-3.5
227,-5.75
228,-20.25
229,9.0
230,-5.0
231,-7.0
232,-4.0
233,-3.75
234,-0.5
235,0.25
236,-0.75
237,-4.5
238,-7.75
239,0.5
240,11.0
241,13.25
242,-1.5
243,-1.75
244,6.0
245,4.0
246,-3.5
247,-9.75
248,-0.5
249,2.5
250,1.25
251,2.5
